source,version,name,version_in_other,name_in_other,statement_count,raw_md5,whitespace_removed_md5,note
live,20260912195022,add_party_advance_allocation_workflows,false,true,1,bfaad1fc7004c1302b914a692dd52274,0356a369f29cc6a451f40d1b04c2c264,version_absent;name_present
live,20260912195342,reconcile_returns_with_payment_status,false,true,1,18fceae87d7eb77a00520aa86a4d31bf,c2ba34198eeddec687493c15355f7754,version_absent;name_present
live,20260912195525,secure_employee_salary_ledger_view,false,true,1,455a9c827ab50d927e6e34652f78c6ec,5105238b8760853dca76db3770a839fd,version_absent;name_present;duplicate_live_name
live,20260912195745,harden_payment_reversal_branch_and_reconciliation,false,true,1,849ecf4269bec5db05623c768c5a98b7,52618494eb2e02bff0b5141551de3008,version_absent;name_present
live,20260912195752,stamp_journal_post_actor_metadata,false,true,1,0de1f31bc175f1d3beb38a62a9c39f7d,39285e9e291014c59914ee9da1359f5b,version_absent;name_present
live,20260912195855,reduce_internal_function_execute_surface,false,true,1,417d26034b3897415d57fe697c8eac05,31d445e3893ed44eace33fcf9cdb7146,version_absent;name_present
live,20260912201824,advanced_owner_feature_governance,false,true,1,0cf62763ff30a69512b7ae7cdf693bd7,1d23000fe2084db6d9a1483954059bd1,version_absent;name_present
live,20260912203511,add_owner_subscription_resource_limits,false,true,1,fe8d43ba6fd05880d365727aef2e82fd,9dcf9c8b03305c47314a6d2a4ec9bf1e,version_absent;name_present
live,20260912203828,enforce_company_resource_limits_and_branch_admin,false,true,1,608ea32fe3ff9f82718d22c449749843,fbd8b7d5f64e5a10ade00e71b2a1e38b,version_absent;name_present
live,20260912204642,company_admin_access_governance,false,true,1,0df3fb9b3e51606ae2001f0a331dd1d9,a93ec4998482fa1381d26e2d37babc73,version_absent;name_present
live,20260912205333,revoke_anonymous_internal_security_definers,false,true,1,bd9ad6c4840857fa6744ffea68045d02,366f9a42907e5f9874729f2b32bde24e,version_absent;name_present
live,20260912211838,allow_service_role_company_resource_limits,false,true,1,f5a65235732f0e4ca488d818842f7b08,1f2e5741b71c32a0811086dd7cad4b6e,version_absent;name_present
live,20260912212031,company_admin_service_role_limits_source_record,false,false,1,7f1f54d283bba35ea495c59a7a49f69c,2b1f20aa598099560f69f19c55dc556b,version_absent
live,20260912212052,company_admin_service_role_limits_source_record_2,false,false,1,ccb5b4481bced39454dca6d845601d54,d7d1d45bcb946547b382bb0e7853c185,version_absent
live,20260912212101,company_admin_service_role_limits_source_record_3,false,false,1,ccb5b4481bced39454dca6d845601d54,d7d1d45bcb946547b382bb0e7853c185,version_absent
live,20260912214710,restrict_runtime_languages_to_supported_set,false,true,1,30c72372eda9ec2ec30916517b0bf2e8,414ebaafba49a6001ef056dc827af7d7,version_absent;name_present
live,20260913050702,enforce_navilo_language_pairs,false,true,1,21961bf8deea106767d017d4eaa51cdb,abfccf6532f38d870f5dfabbe44c9ad4,version_absent;name_present
live,20260913055556,reduce_authenticated_helper_rpc_surface,false,false,1,c215fa14ff2d02513d4956fa7e541a5d,ef51403df92bdabf2d92e83700da2d9d,version_absent
live,20260913060509,harden_company_transaction_reset_scope,false,false,1,30956b0ab42dee2ea73e06852baf53a3,c17fd2b4b5c04fdcc3a212271b9d56ff,version_absent
live,20260913060553,restore_rls_helper_execute_for_authenticated,false,false,1,1b7c458d58f079567060f3698d2481fd,6d92c85cab0b54bde64d17adae55075a,version_absent
live,20260913060629,enforce_permissions_on_read_rpcs,false,false,1,7d1e04ace0a5be5faa6c0feb19054f00,0e1d6504cdcf5df4063d063fb177bcc0,version_absent
live,20260913061215,harden_branch_membership_rls,false,false,1,4e21f8b0cafbbd1196d176e24637ac7e,ba1c3419ce60dcd3c0c37321e65db4a3,version_absent
live,20260913061523,harden_salary_profile_rls,false,false,1,0c74935a2ce0cb7b280a264e53a8c128,2f56b1b3b5f111425c5ee38d3ae66a1e,version_absent
live,20260913061742,harden_loan_company_sharing,false,false,1,2318ad11da6b7293a93bdb8ce239c951,c22964da1e4d7d7f20c24a85bd2f8476,version_absent
live,20260913061940,harden_accounting_configuration_rls,false,true,1,c848b627788e2f72909eb4868fff2929,4a93da696eb4c518729aec7ee57efa58,version_absent;name_present
